postcode,price,easting,northing
W3 0TG,210000,519972.0,182191.0
NW4 3LH,1675000,522921.0,188498.0
W3 7AF,700000,521016.0,180906.0
SW6 4ST,625000,525244.0,176466.0
NW8 6BY,2150000,527330.0,183579.0
SW6 5SL,295000,524358.0,176289.0
SW16 5BN,6750000,529458.0,169466.0
SW20 8BG,530000,523420.0,169183.0
SE25 4FG,300000,533991.0,168726.0
SE22 9HF,650000,534029.0,174789.0
SW18 3DW,625000,526550.0,174161.0
SW4 8NG,412500,529262.0,174114.0
SW16 6BP,475000,529424.0,171089.0
SW17 6DB,652000,528447.0,171710.0
SE17 3ED,475000,532130.0,178018.0
SE3 0SP,366000,539757.0,176277.0
SE13 5LP,427500,539005.0,174700.0
SE16 7AB,500000,536199.0,178914.0
SE1 2EE,600000,534042.0,179775.0
SE24 9NT,675000,532628.0,174637.0
SE3 9QT,450000,541374.0,175840.0
SW11 3AS,750000,527415.0,176737.0
SW16 2AQ,705000,530747.0,171172.0
SE28 0HN,360000,544975.0,179981.0
SW8 1QU,350000,530393.0,177307.0
SW4 7QN,790000,530680.0,175271.0
SW2 3AL,510000,530834.0,172587.0
SW4 7JF,397000,529707.0,175178.0
SW2 5PP,623000,530169.0,174421.0
SE16 5UD,440000,536644.0,180023.0
SW18 1DH,625000,525908.0,175378.0
W12 0FH,600000,522772.0,181276.0
SW6 5SL,425000,524358.0,176289.0
W12 9RA,380000,522369.0,180067.0
W6 9YH,313080,523335.0,177942.0
SW6 2AH,580000,525680.0,176745.0
W14 8SG,625350,524543.0,178753.0
SW7 5RD,700000,526353.0,178770.0
SW19 1FW,650000,526504.0,170471.0
SW20 9NH,295000,523598.0,167508.0
SE20 7NR,320000,535908.0,170193.0
SW19 1ED,610000,525667.0,170437.0
SW19 8LD,375000,526003.0,171317.0
E16 1DA,461225,540439.0,180806.0
E16 1DA,463600,540439.0,180806.0
E16 1DA,460750,540439.0,180806.0
E16 1DA,456475,540439.0,180806.0
E16 1DA,467875,540439.0,180806.0
E16 1DA,470250,540439.0,180806.0
E7 8AJ,479000,541618.0,185084.0
E13 8QP,320000,540820.0,182342.0
SE5 9QL,330000,532027.0,176052.0
E16 2EE,120113,541787.0,180125.0
SW17 8AJ,480000,528748.0,172779.0
SE6 2LN,890000,537905.0,173110.0
SW14 8AE,320000,520504.0,175495.0
SW11 3SJ,375000,526431.0,175549.0
SW9 9RJ,375000,530553.0,175849.0
SW11 3SJ,335000,526431.0,175549.0
SW11 3SJ,375000,526431.0,175549.0
NW1 5BJ,1350000,527273.0,181572.0
EC1R 5AR,5750000,531251.0,182023.0
W12 7JS,2390000,523228.0,180032.0
NW4 4EB,750000,523047.0,189374.0
W1D 6PB,9780154,529734.0,180735.0
W1D 4QH,4500000,529685.0,181027.0
NW9 5BR,260000,521373.0,190207.0
NW8 0EH,271000,526199.0,183352.0
NW8 0RF,1950000,525999.0,183616.0
W2 5AJ,1475000,525411.0,181228.0
EC3N 1NT,2332301,533615.0,181030.0
W2 6JT,6747143,526134.0,181471.0
W2 1UZ,510000,526462.0,181883.0
N7 6FP,441000,530206.0,186387.0
W1S 3AS,36600000,529122.0,180674.0
NW6 7BY,410000,523965.0,184274.0
W1G 9TA,1630000,528739.0,181686.0
NW8 9TD,300000,526727.0,183249.0
NW6 3HA,3475000,526263.0,184266.0
WC2E 9JS,4100000,530393.0,181152.0
W1K 6LD,2975000,528361.0,180884.0
WC1E 7DQ,40000,529777.0,181803.0
SW19 8LD,350000,526003.0,171317.0
SE25 5JN,380000,534164.0,168262.0
SE25 5FR,350000,534222.0,168276.0
SE25 5FR,250000,534222.0,168276.0
SE25 5FR,275000,534222.0,168276.0
SE25 5FR,335000,534222.0,168276.0
SE25 5FR,360000,534222.0,168276.0
SE25 5FR,275000,534222.0,168276.0
SE25 5FR,305000,534222.0,168276.0
SE25 5FR,345000,534222.0,168276.0
SE25 5FR,305000,534222.0,168276.0
SE25 5FR,335500,534222.0,168276.0
SE25 5FR,365000,534222.0,168276.0
SE25 5FR,375000,534222.0,168276.0
SE25 5FR,325000,534222.0,168276.0
SE19 3HF,550000,531785.0,170807.0
SE19 3HF,560000,531785.0,170807.0
SE19 3HF,350000,531785.0,170807.0
SW16 4AD,60000,530557.0,169808.0
SE19 3ST,332500,532919.0,170662.0
SE25 6JF,25000,532981.0,167908.0
SE28 8PD,190000,547853.0,180995.0
W3 7BN,443000,521549.0,180192.0
E1 0ER,520000,535530.0,181439.0
E9 6SY,180000,535424.0,184604.0
N4 4NH,745000,531306.0,187724.0
E17 7PF,330000,536370.0,188729.0
NW10 7GE,468000,518954.0,182766.0
W3 8GQ,581000,520082.0,179261.0
E17 6SS,545000,536011.0,189871.0
EC1Y 8JL,517500,532386.0,182195.0
E1 3FU,470000,535193.0,181305.0
E1 3FU,440000,535193.0,181305.0
E1 3FU,445000,535193.0,181305.0
W3 6QS,382500,520091.0,180186.0
E1 3FU,450000,535193.0,181305.0
NW10 1EF,695000,521739.0,185313.0
E1 3FU,460000,535193.0,181305.0
E1 3FU,460000,535193.0,181305.0
E1 3FU,450000,535193.0,181305.0
W3 6QS,390000,520091.0,180186.0
E1 3FU,468000,535193.0,181305.0
E1 3FU,470000,535193.0,181305.0
E1 3FU,405000,535193.0,181305.0
SE1 1GH,725000,532479.0,180059.0
SW11 3HQ,550000,527202.0,176474.0
SW9 0ER,730000,531131.0,177134.0
SW17 8PB,550000,527838.0,171835.0
SE18 4PS,480000,542724.0,176632.0
SE12 8JH,362500,540659.0,175065.0
SE9 3EQ,452500,542845.0,172323.0
SE17 3DY,430000,532220.0,178120.0
SE1 8AD,800000,531324.0,180265.0
SW11 4RX,795000,527515.0,176556.0
SE23 1RT,292500,536334.0,173434.0
SE12 9SD,420000,541404.0,171699.0
